task_id,machine_id,operator_id,task_type,task_complexity,material_type,quantity_m3,target_depth_m,haul_distance_m,weather,temperature_c,rainfall_mm,wind_speed_kmh,ground_condition,operator_skill,operator_experience_yrs,previous_similar_tasks,previous_avg_completion_min,machine_age_yrs,engine_hours,bucket_capacity_m3,avg_engine_load_pct,machine_efficiency_pct,estimated_time_min,actual_completion_time_min,completed,date
398,EXC001,OP003,Earth Excavation,High,Soil,149.2,1.2,66.6,Windy,33.8,0.0,58.5,Wet,Expert,14.3,26,72.6,4.5,547.0,0.8,64.8,88.4,168.8,159.4,1,2024-09-14 00:00:00
399,EXC005,OP009,Earth Excavation,Medium,Rock,62.9,2.6,67.3,Windy,26.6,0.0,13.7,Wet,Beginner,14.4,187,59.2,4.9,4436.0,1.5,92.5,86.9,82.6,72.1,1,2024-02-28 00:00:00
400,EXC003,OP008,Material Loading,High,Mixed,222.1,5.5,98.1,Sunny,37.7,0.0,0.8,Dry,Expert,14.0,282,47.1,6.7,7889.0,1.2,67.7,91.9,74.0,65.4,0,2024-06-09 00:00:00
401,EXC004,OP010,Trenching,High,Sand,45.4,1.4,64.2,Cloudy,16.3,0.0,3.2,Dry,Intermediate,3.8,50,81.5,3.6,7550.0,2.0,66.3,87.7,37.3,37.4,1,2024-11-17 00:00:00
402,EXC004,OP007,Trenching,Medium,Mixed,225.1,0.8,84.6,Windy,30.1,0.0,28.0,Muddy,Expert,4.2,84,75.7,2.0,11305.0,1.5,56.4,73.6,169.6,161.1,1,2024-07-05 00:00:00
403,EXC004,OP003,Compaction,Low,Rock,63.0,3.4,6.3,Sunny,33.9,0.0,13.5,Wet,Intermediate,12.7,133,41.4,14.4,10857.0,1.0,67.9,94.6,43.1,44.4,1,2024-08-29 00:00:00
404,EXC005,OP001,Demolition,High,Gravel,237.7,1.0,87.1,Cloudy,7.1,0.0,5.1,Frozen,Beginner,2.5,11,110.9,7.4,2941.0,1.2,92.8,83.5,303.8,300.0,1,2024-09-13 00:00:00
405,EXC003,OP003,Trenching,High,Rock,242.5,4.5,69.3,Windy,18.4,0.0,10.1,Dry,Intermediate,4.0,99,78.5,11.6,8576.0,1.0,78.2,71.4,296.5,300.0,1,2024-09-19 00:00:00
406,EXC001,OP005,Material Loading,High,Sand,160.1,2.5,58.6,Cloudy,16.8,0.0,0.0,Frozen,Expert,13.1,170,38.2,6.7,6007.0,1.2,53.8,92.6,50.9,46.2,1,2024-12-05 00:00:00
407,EXC004,OP008,Compaction,High,Clay,182.3,2.7,76.4,Windy,38.6,0.0,45.2,Wet,Intermediate,14.1,91,43.7,9.0,7010.0,1.0,81.9,94.1,155.3,148.3,1,2024-05-16 00:00:00
408,EXC005,OP007,Earth Excavation,Low,Soil,245.7,2.8,55.7,Cloudy,13.4,0.0,6.7,Wet,Expert,14.8,190,60.1,7.6,304.0,0.8,60.9,97.3,100.4,111.5,1,2024-07-29 00:00:00
409,EXC003,OP008,Grading,High,Mixed,131.8,1.1,37.2,Windy,7.4,0.0,23.2,Dry,Beginner,14.9,23,55.9,1.1,10336.0,1.2,73.8,79.9,80.6,91.9,1,2024-03-23 00:00:00
410,EXC002,OP010,Compaction,Medium,Soil,162.2,3.8,33.1,Windy,14.6,0.0,57.3,Wet,Expert,11.1,71,32.2,2.3,11265.0,2.0,76.2,76.0,36.6,42.8,1,2024-09-16 00:00:00
411,EXC002,OP003,Demolition,High,Soil,183.7,3.8,46.8,Cloudy,29.0,0.0,13.5,Wet,Intermediate,12.1,125,108.9,12.5,3249.0,0.8,74.9,66.5,304.8,300.0,1,2024-09-05 00:00:00
412,EXC002,OP002,Material Loading,High,Gravel,75.4,5.0,13.8,Rainy,24.0,26.0,8.6,Muddy,Expert,13.3,227,27.5,9.5,11689.0,1.0,89.2,72.1,68.0,63.0,1,2024-03-25 00:00:00
413,EXC005,OP006,Demolition,Medium,Rock,244.7,1.6,42.3,Rainy,40.7,34.5,8.9,Frozen,Expert,8.3,187,111.2,1.6,10742.0,1.5,75.7,82.8,242.6,243.1,0,2024-07-14 00:00:00
414,EXC003,OP009,Material Loading,Low,Mixed,167.3,4.9,68.5,Windy,36.5,0.0,15.7,Wet,Expert,13.9,137,31.4,13.6,6326.0,1.2,78.1,72.0,41.8,56.7,1,2024-04-04 00:00:00
415,EXC005,OP008,Demolition,Low,Mixed,103.7,4.0,96.3,Cloudy,20.9,0.0,14.6,Muddy,Intermediate,10.2,18,116.0,9.3,2998.0,0.8,88.3,83.9,280.5,287.9,1,2024-02-09 00:00:00
416,EXC003,OP001,Demolition,Low,Clay,65.8,5.7,67.3,Cloudy,13.5,0.0,3.1,Dry,Expert,13.9,96,116.1,9.3,10746.0,1.5,55.0,95.5,53.5,57.7,1,2024-12-15 00:00:00
417,EXC004,OP009,Trenching,Medium,Soil,64.0,0.9,42.2,Windy,6.9,0.0,29.7,Wet,Beginner,2.5,206,72.4,11.1,10034.0,0.8,59.0,90.3,171.1,166.7,1,2024-12-04 00:00:00
418,EXC002,OP002,Grading,Medium,Mixed,190.9,2.4,51.3,Rainy,10.8,48.7,10.9,Frozen,Expert,4.4,237,59.8,5.9,5185.0,0.8,83.6,95.5,169.5,171.1,1,2024-07-03 00:00:00
419,EXC005,OP003,Grading,Low,Soil,106.9,1.9,75.6,Cloudy,40.1,0.0,6.9,Wet,Expert,0.6,202,64.2,10.5,5098.0,2.0,62.5,65.1,40.7,42.0,1,2024-10-04 00:00:00
420,EXC002,OP010,Compaction,High,Soil,111.6,5.8,90.0,Cloudy,16.7,0.0,0.5,Muddy,Intermediate,5.0,223,51.0,3.5,6658.0,1.5,91.3,93.7,93.8,86.4,1,2024-01-24 00:00:00
421,EXC002,OP006,Material Loading,High,Sand,155.0,4.9,50.2,Sunny,12.1,0.0,9.6,Frozen,Expert,1.7,205,38.6,9.0,2710.0,1.0,87.3,68.6,107.8,103.2,1,2024-12-02 00:00:00
422,EXC001,OP005,Material Loading,Medium,Sand,61.0,0.6,9.8,Sunny,38.4,0.0,13.2,Muddy,Beginner,12.2,249,35.3,3.4,6400.0,1.5,85.8,87.3,16.8,21.4,1,2024-06-25 00:00:00
423,EXC001,OP006,Material Loading,Medium,Mixed,196.5,2.3,16.1,Windy,20.6,0.0,37.4,Frozen,Beginner,3.5,172,33.7,6.4,7701.0,1.2,82.5,92.6,117.0,102.3,1,2024-11-02 00:00:00
424,EXC004,OP007,Trenching,Medium,Clay,158.2,2.9,58.8,Cloudy,29.8,0.0,6.5,Wet,Beginner,7.0,216,69.7,10.7,918.0,2.0,74.3,83.1,123.3,122.9,1,2024-03-02 00:00:00
425,EXC002,OP003,Grading,High,Sand,71.6,4.4,88.6,Windy,30.2,0.0,44.3,Frozen,Expert,7.8,26,41.2,9.7,3674.0,1.0,87.2,96.1,98.8,92.1,1,2024-07-11 00:00:00
426,EXC003,OP008,Grading,Medium,Mixed,203.8,1.8,96.6,Sunny,26.9,0.0,0.1,Wet,Beginner,0.9,84,46.6,13.3,7814.0,1.2,84.3,90.9,189.5,186.2,1,2024-10-05 00:00:00
427,EXC004,OP006,Earth Excavation,Low,Rock,34.9,2.9,69.6,Cloudy,9.1,0.0,11.9,Frozen,Expert,14.2,292,75.5,1.8,2005.0,1.0,58.9,67.6,44.2,43.0,1,2024-06-22 00:00:00
428,EXC002,OP009,Grading,Medium,Gravel,140.8,2.6,52.8,Cloudy,24.3,0.0,5.4,Frozen,Beginner,7.0,116,54.9,12.1,5115.0,1.5,51.2,74.3,103.2,105.7,0,2024-10-22 00:00:00
429,EXC001,OP006,Compaction,Low,Gravel,200.2,5.1,94.5,Windy,7.3,0.0,50.0,Frozen,Intermediate,10.8,121,41.7,3.5,11194.0,2.0,89.9,85.0,72.3,67.4,0,2024-12-01 00:00:00
430,EXC002,OP010,Earth Excavation,High,Sand,179.8,2.0,59.1,Windy,13.9,0.0,57.3,Dry,Expert,13.0,171,72.4,4.7,6440.0,1.2,72.5,96.7,88.8,93.7,1,2024-07-19 00:00:00
431,EXC002,OP010,Material Loading,Medium,Clay,121.4,1.2,84.2,Cloudy,35.4,0.0,10.4,Muddy,Expert,11.4,11,25.5,4.3,7776.0,1.2,58.9,95.8,72.6,54.7,1,2024-02-22 00:00:00
432,EXC004,OP005,Trenching,Low,Clay,244.3,2.4,52.9,Rainy,32.6,27.6,11.2,Dry,Beginner,10.1,66,77.3,9.3,7866.0,1.0,86.0,88.4,284.6,294.7,1,2024-04-19 00:00:00
433,EXC004,OP003,Demolition,Low,Rock,84.3,2.8,40.0,Sunny,38.2,0.0,6.8,Frozen,Expert,10.6,283,102.2,12.0,7609.0,1.5,86.1,78.2,90.2,94.0,1,2024-01-04 00:00:00
434,EXC003,OP009,Earth Excavation,Medium,Gravel,30.4,5.2,39.4,Sunny,10.2,0.0,6.6,Wet,Beginner,7.5,107,75.6,9.7,6390.0,1.2,52.0,93.8,51.0,56.9,1,2024-08-25 00:00:00
435,EXC002,OP007,Earth Excavation,Medium,Mixed,95.8,5.9,67.9,Rainy,20.5,11.1,11.2,Frozen,Beginner,4.3,218,73.1,2.9,2023.0,0.8,78.9,67.3,284.3,278.0,1,2024-11-14 00:00:00
436,EXC004,OP008,Compaction,Low,Mixed,179.5,2.4,9.7,Sunny,16.2,0.0,13.6,Muddy,Beginner,6.5,277,58.8,13.0,6202.0,0.8,73.3,65.2,160.0,159.4,1,2024-05-23 00:00:00
437,EXC001,OP002,Trenching,Low,Soil,42.6,2.3,35.5,Cloudy,19.0,0.0,10.3,Muddy,Expert,4.1,96,85.8,7.2,7809.0,1.0,92.7,97.3,71.9,55.8,1,2024-01-14 00:00:00
438,EXC005,OP001,Grading,High,Rock,248.3,5.6,12.2,Cloudy,29.3,0.0,6.9,Wet,Intermediate,10.5,181,40.7,9.2,10693.0,1.0,53.0,76.5,228.8,224.3,1,2024-10-10 00:00:00
439,EXC002,OP002,Compaction,High,Sand,163.8,4.8,87.2,Rainy,14.1,6.4,11.7,Dry,Beginner,4.2,151,42.2,1.0,9938.0,1.5,64.7,65.4,114.4,128.9,1,2024-07-13 00:00:00
440,EXC004,OP004,Earth Excavation,Low,Soil,76.2,2.4,50.4,Cloudy,20.5,0.0,1.9,Wet,Beginner,1.1,116,53.2,1.0,4332.0,1.2,82.3,69.3,86.0,88.5,1,2024-03-12 00:00:00
441,EXC001,OP003,Earth Excavation,Medium,Mixed,138.5,4.5,76.3,Sunny,23.8,0.0,13.9,Wet,Expert,14.9,108,64.6,5.7,1685.0,2.0,60.1,82.5,57.3,58.9,1,2024-10-01 00:00:00
442,EXC003,OP009,Material Loading,Low,Sand,175.2,1.4,73.8,Windy,26.0,0.0,30.1,Muddy,Intermediate,10.6,136,31.1,12.9,9389.0,0.8,74.5,88.8,99.1,98.3,1,2024-03-27 00:00:00
443,EXC001,OP007,Material Loading,Low,Soil,161.0,1.1,30.6,Cloudy,29.6,0.0,6.0,Dry,Beginner,6.6,169,27.8,12.1,11817.0,0.8,53.6,68.4,88.3,88.0,1,2024-07-03 00:00:00
444,EXC005,OP006,Material Loading,Low,Sand,161.1,1.4,96.0,Cloudy,14.3,0.0,10.9,Frozen,Beginner,3.9,240,44.8,9.4,7979.0,1.0,64.8,92.0,80.5,86.2,1,2024-07-23 00:00:00
445,EXC003,OP010,Material Loading,Medium,Gravel,119.9,1.5,31.6,Rainy,9.7,10.6,11.7,Wet,Beginner,8.5,272,26.2,0.8,9505.0,1.0,89.6,92.2,65.4,76.1,1,2024-07-09 00:00:00
446,EXC001,OP009,Demolition,Medium,Sand,114.5,2.7,65.8,Sunny,32.3,0.0,13.2,Frozen,Expert,13.2,4,116.1,11.0,11491.0,2.0,58.0,96.4,59.5,69.0,1,2024-05-22 00:00:00
447,EXC002,OP006,Grading,Medium,Clay,182.8,1.5,18.1,Rainy,10.5,30.0,11.7,Frozen,Beginner,9.2,239,47.4,12.2,7179.0,1.5,93.9,77.9,132.8,128.4,1,2024-04-18 00:00:00
448,EXC003,OP009,Demolition,Low,Mixed,77.1,2.6,86.1,Windy,27.1,0.0,13.4,Wet,Beginner,7.4,229,89.2,1.8,4993.0,1.0,68.2,86.4,177.2,173.1,1,2024-04-21 00:00:00
449,EXC001,OP004,Earth Excavation,High,Gravel,188.8,5.7,65.3,Sunny,5.9,0.0,7.5,Wet,Intermediate,2.7,233,76.2,1.2,7262.0,2.0,51.6,90.9,126.2,108.0,1,2024-07-26 00:00:00
450,EXC002,OP008,Trenching,Medium,Clay,71.5,5.5,79.5,Windy,17.7,0.0,57.4,Wet,Expert,4.0,255,80.1,6.4,9800.0,0.8,69.9,72.7,190.7,195.5,1,2024-06-06 00:00:00
451,EXC003,OP010,Compaction,Medium,Mixed,194.4,2.8,76.0,Sunny,5.3,0.0,5.2,Dry,Expert,6.9,288,63.3,7.3,9035.0,1.5,67.1,76.6,56.0,58.6,1,2024-06-20 00:00:00
452,EXC001,OP002,Demolition,High,Clay,235.4,1.3,16.1,Windy,7.6,0.0,48.3,Dry,Intermediate,11.9,131,113.5,10.6,829.0,1.2,82.5,79.8,279.6,291.8,1,2024-12-19 00:00:00
453,EXC005,OP001,Compaction,Medium,Clay,30.5,3.9,28.2,Rainy,18.9,35.3,8.4,Frozen,Intermediate,5.8,95,56.3,2.9,6165.0,1.2,91.1,82.6,55.9,47.2,1,2024-10-04 00:00:00
454,EXC002,OP008,Earth Excavation,Low,Soil,167.5,3.4,59.1,Sunny,28.6,0.0,12.4,Frozen,Expert,9.2,34,64.5,11.4,3516.0,1.5,94.0,66.1,87.5,86.2,1,2024-05-13 00:00:00
455,EXC001,OP009,Compaction,High,Soil,244.1,4.0,88.0,Windy,14.1,0.0,34.4,Wet,Intermediate,0.9,35,42.2,0.6,8524.0,2.0,74.7,88.0,117.7,111.2,1,2024-03-20 00:00:00
456,EXC001,OP005,Demolition,Low,Mixed,186.4,5.0,33.8,Sunny,41.7,0.0,13.6,Muddy,Beginner,7.5,278,98.1,11.0,6383.0,1.0,84.2,92.3,303.4,300.0,1,2024-05-25 00:00:00
457,EXC002,OP006,Trenching,Medium,Soil,153.3,2.5,9.2,Cloudy,9.1,0.0,2.1,Muddy,Expert,5.8,19,68.0,9.3,3830.0,0.8,61.9,78.5,177.4,193.3,1,2024-07-07 00:00:00
458,EXC003,OP001,Compaction,Low,Mixed,248.9,0.7,84.3,Cloudy,36.7,0.0,13.8,Frozen,Intermediate,7.4,99,41.6,11.9,2502.0,1.5,77.1,76.8,98.4,86.2,1,2024-04-27 00:00:00
459,EXC001,OP006,Earth Excavation,High,Clay,210.1,4.3,7.9,Rainy,17.4,23.3,5.4,Muddy,Beginner,2.2,27,61.3,3.5,490.0,0.8,62.0,92.1,296.0,300.0,1,2024-12-12 00:00:00
460,EXC003,OP001,Trenching,Low,Clay,115.3,3.6,97.2,Windy,16.6,0.0,36.0,Muddy,Expert,7.5,158,90.4,10.9,8817.0,1.2,82.8,71.7,142.4,149.3,1,2024-05-13 00:00:00
461,EXC001,OP001,Compaction,Medium,Soil,64.2,3.6,63.8,Cloudy,36.5,0.0,9.1,Wet,Expert,14.4,257,49.6,13.1,4315.0,0.8,93.1,73.5,54.6,56.3,1,2024-01-11 00:00:00
462,EXC002,OP002,Material Loading,Low,Gravel,139.1,3.9,35.0,Sunny,10.4,0.0,6.5,Dry,Intermediate,14.2,138,21.9,3.8,8175.0,1.5,52.2,88.7,41.9,31.1,1,2024-05-06 00:00:00
463,EXC002,OP002,Compaction,Medium,Clay,231.2,3.0,15.2,Windy,13.5,0.0,30.4,Muddy,Intermediate,5.2,173,31.6,13.1,8208.0,2.0,72.1,78.1,89.0,80.7,1,2024-06-01 00:00:00
464,EXC004,OP007,Earth Excavation,Low,Soil,137.3,3.2,78.5,Cloudy,6.3,0.0,6.4,Frozen,Expert,1.9,144,78.2,6.3,11809.0,2.0,83.9,97.5,55.5,53.8,1,2024-06-18 00:00:00
465,EXC002,OP008,Demolition,Medium,Gravel,62.1,3.6,28.3,Cloudy,15.9,0.0,7.5,Muddy,Intermediate,2.9,105,110.1,14.5,5474.0,1.0,51.3,92.8,168.8,181.9,1,2024-10-09 00:00:00
466,EXC005,OP003,Material Loading,High,Soil,193.7,5.9,99.3,Cloudy,34.0,0.0,2.4,Dry,Beginner,14.7,293,46.9,5.3,4137.0,0.8,80.9,66.6,144.4,147.6,1,2024-05-22 00:00:00
467,EXC001,OP009,Grading,High,Sand,55.5,2.2,39.3,Rainy,30.3,39.4,14.4,Frozen,Expert,4.8,75,59.4,7.7,542.0,1.5,66.8,84.6,68.2,54.1,1,2024-01-04 00:00:00
468,EXC004,OP004,Material Loading,Medium,Sand,76.1,3.5,90.5,Windy,19.5,0.0,31.5,Frozen,Beginner,14.8,51,38.7,2.1,8526.0,2.0,88.3,70.0,29.7,33.4,1,2024-11-14 00:00:00
469,EXC005,OP005,Compaction,High,Mixed,162.2,0.7,86.3,Windy,6.7,0.0,25.7,Dry,Intermediate,13.9,142,48.9,14.3,11904.0,1.2,58.0,81.1,94.2,98.8,1,2024-12-07 00:00:00
470,EXC001,OP006,Material Loading,Low,Mixed,65.2,2.7,14.6,Windy,39.6,0.0,42.6,Muddy,Beginner,1.9,129,43.6,11.9,4547.0,0.8,61.0,83.8,78.0,82.4,1,2024-05-05 00:00:00
471,EXC003,OP001,Compaction,Low,Sand,155.7,1.4,94.4,Rainy,37.8,16.8,11.6,Dry,Beginner,1.9,40,48.8,11.2,3533.0,1.2,80.5,80.5,122.5,115.0,1,2024-01-18 00:00:00
472,EXC004,OP010,Grading,Medium,Soil,174.5,5.1,45.0,Windy,25.3,0.0,38.9,Wet,Beginner,5.0,214,43.5,1.3,250.0,1.5,87.6,71.6,119.7,114.6,0,2024-09-11 00:00:00
473,EXC005,OP008,Earth Excavation,High,Rock,189.9,4.3,34.5,Rainy,41.4,32.4,9.1,Muddy,Intermediate,1.5,189,63.6,4.6,5474.0,0.8,73.1,90.2,303.4,300.0,1,2024-03-16 00:00:00
474,EXC003,OP003,Demolition,High,Soil,156.2,1.7,99.9,Sunny,11.5,0.0,5.0,Muddy,Beginner,3.0,11,108.9,7.2,5143.0,2.0,72.1,95.6,230.5,234.6,0,2024-03-28 00:00:00
475,EXC004,OP002,Material Loading,Medium,Rock,76.5,4.6,68.6,Windy,25.9,0.0,53.2,Wet,Intermediate,11.9,198,30.6,10.2,8044.0,1.5,73.6,80.3,36.0,46.4,1,2024-11-22 00:00:00
476,EXC004,OP003,Grading,Medium,Rock,241.6,5.2,58.3,Rainy,19.9,36.8,7.9,Wet,Beginner,14.6,85,46.5,1.3,605.0,1.0,75.6,71.7,268.3,273.6,1,2024-09-08 00:00:00
477,EXC004,OP006,Trenching,Medium,Sand,130.0,4.7,57.8,Sunny,15.3,0.0,11.3,Frozen,Intermediate,8.0,284,70.8,3.1,6844.0,0.8,81.7,74.9,183.2,179.7,1,2024-05-17 00:00:00
478,EXC001,OP009,Material Loading,Low,Mixed,176.8,3.4,18.1,Cloudy,12.6,0.0,2.7,Wet,Intermediate,9.0,55,45.4,14.6,10551.0,2.0,51.1,74.0,59.1,49.3,1,2024-08-14 00:00:00
479,EXC001,OP006,Grading,Low,Gravel,34.3,1.0,39.7,Rainy,41.1,27.4,11.3,Frozen,Beginner,5.2,107,40.9,10.9,11601.0,1.2,95.0,86.1,52.7,53.3,1,2024-10-05 00:00:00
480,EXC002,OP007,Demolition,Medium,Rock,159.9,1.0,20.3,Cloudy,7.8,0.0,1.6,Frozen,Beginner,14.7,65,116.1,3.6,8352.0,2.0,78.6,85.8,131.4,136.9,1,2024-03-08 00:00:00
481,EXC001,OP001,Earth Excavation,Low,Soil,85.1,4.9,21.7,Rainy,39.5,44.2,5.4,Dry,Intermediate,4.9,188,61.7,2.5,11013.0,2.0,51.4,81.9,43.3,42.7,1,2024-02-09 00:00:00
482,EXC003,OP009,Trenching,Medium,Gravel,138.6,5.5,38.7,Sunny,36.7,0.0,3.5,Muddy,Intermediate,10.8,147,65.1,1.8,11835.0,2.0,92.9,79.6,81.8,86.2,1,2024-09-11 00:00:00
483,EXC003,OP003,Grading,Low,Mixed,168.4,1.1,18.9,Windy,5.8,0.0,28.2,Dry,Beginner,9.8,202,50.1,8.1,8160.0,1.5,56.3,66.9,62.3,67.2,1,2024-04-27 00:00:00
484,EXC005,OP002,Earth Excavation,Low,Gravel,121.9,4.4,10.0,Rainy,25.5,7.2,10.2,Dry,Beginner,2.2,154,59.5,1.6,8615.0,1.5,52.9,72.4,106.2,100.3,1,2024-07-11 00:00:00
485,EXC001,OP006,Demolition,Low,Sand,230.9,4.0,51.9,Rainy,22.9,9.1,5.2,Wet,Beginner,11.0,58,104.4,8.3,6446.0,1.5,81.1,77.9,245.5,246.0,1,2024-03-14 00:00:00
486,EXC004,OP001,Material Loading,Medium,Mixed,81.6,0.8,46.6,Sunny,5.4,0.0,1.1,Muddy,Expert,9.1,266,33.2,11.0,2182.0,1.5,83.0,96.3,32.9,20.8,1,2024-05-11 00:00:00
487,EXC003,OP005,Material Loading,Medium,Mixed,80.9,2.3,66.3,Windy,5.9,0.0,38.6,Muddy,Expert,12.2,217,41.0,9.4,3686.0,2.0,56.6,94.5,35.8,19.7,1,2024-03-27 00:00:00
488,EXC002,OP003,Trenching,Low,Rock,65.9,4.2,86.4,Sunny,35.3,0.0,6.4,Frozen,Expert,1.2,177,68.5,14.0,4871.0,2.0,66.2,90.1,53.7,63.9,1,2024-12-18 00:00:00
489,EXC005,OP001,Material Loading,High,Sand,242.7,5.6,55.8,Windy,19.9,0.0,15.5,Muddy,Beginner,9.1,121,48.0,10.7,4967.0,0.8,75.8,65.9,263.5,261.4,1,2024-09-21 00:00:00
490,EXC001,OP004,Demolition,Medium,Soil,70.9,4.5,10.5,Sunny,25.3,0.0,5.7,Dry,Beginner,7.2,183,116.2,6.7,2007.0,1.2,59.9,67.1,124.4,129.3,1,2024-02-16 00:00:00
491,EXC002,OP007,Grading,High,Sand,208.9,2.7,86.7,Windy,34.5,0.0,10.1,Wet,Intermediate,7.6,253,58.6,4.3,1218.0,1.5,50.4,89.1,78.9,95.1,1,2024-01-24 00:00:00
492,EXC003,OP008,Trenching,Low,Clay,95.7,2.6,99.4,Cloudy,11.5,0.0,1.2,Muddy,Expert,9.1,86,80.8,0.9,2329.0,2.0,78.0,86.8,49.4,54.0,1,2024-10-20 00:00:00
493,EXC005,OP003,Trenching,Medium,Mixed,59.3,5.8,89.7,Windy,16.9,0.0,11.0,Wet,Expert,9.3,157,79.1,6.9,9045.0,0.8,53.4,73.1,158.3,139.5,1,2024-01-22 00:00:00
494,EXC005,OP008,Grading,High,Clay,48.7,2.6,75.7,Windy,31.7,0.0,37.2,Muddy,Intermediate,11.8,95,44.5,2.1,1595.0,1.5,79.6,87.9,50.5,53.8,1,2024-03-22 00:00:00
495,EXC001,OP007,Earth Excavation,Medium,Rock,77.6,5.5,27.5,Sunny,9.5,0.0,0.5,Muddy,Intermediate,1.2,5,70.4,3.3,7377.0,2.0,62.9,66.9,102.0,89.7,1,2024-04-04 00:00:00
496,EXC005,OP007,Trenching,Low,Mixed,127.0,4.7,34.5,Rainy,19.1,31.5,0.8,Muddy,Beginner,14.5,28,92.8,3.0,515.0,0.8,50.2,78.2,261.5,265.3,1,2024-06-12 00:00:00
497,EXC005,OP002,Material Loading,Low,Mixed,130.1,3.3,80.4,Windy,13.3,0.0,45.5,Wet,Intermediate,10.8,51,47.6,12.8,302.0,1.2,71.2,93.1,83.3,67.7,1,2024-07-08 00:00:00
498,EXC003,OP003,Trenching,Medium,Gravel,113.3,0.7,29.1,Windy,30.8,0.0,28.0,Frozen,Intermediate,2.8,104,80.0,2.0,1322.0,1.0,79.7,85.2,147.6,147.6,1,2024-01-22 00:00:00
499,EXC004,OP002,Compaction,Low,Mixed,203.0,1.4,92.9,Cloudy,6.6,0.0,12.3,Muddy,Beginner,10.0,107,49.4,4.1,2589.0,1.0,87.3,93.4,149.6,136.6,1,2024-06-06 00:00:00
500,EXC004,OP006,Material Loading,Medium,Clay,200.2,0.7,91.9,Rainy,26.3,25.2,0.2,Frozen,Beginner,13.5,124,40.2,8.4,9937.0,1.5,79.5,91.3,83.3,92.3,1,2024-09-17 00:00:00
501,EXC003,OP006,Grading,Medium,Soil,203.3,2.3,86.6,Rainy,9.0,31.7,13.4,Dry,Intermediate,4.2,169,47.6,5.2,3804.0,1.0,68.6,68.6,173.9,169.3,0,2024-02-06 00:00:00
502,EXC004,OP004,Earth Excavation,Low,Mixed,204.7,3.3,12.1,Rainy,30.2,25.0,3.1,Muddy,Expert,13.2,113,62.3,4.7,3558.0,0.8,62.3,90.3,158.5,151.8,1,2024-07-28 00:00:00
503,EXC003,OP002,Trenching,Low,Sand,169.0,3.5,5.4,Windy,41.8,0.0,50.7,Muddy,Beginner,7.6,223,69.9,10.4,5824.0,0.8,56.0,79.7,264.2,270.9,1,2024-08-14 00:00:00
504,EXC001,OP004,Earth Excavation,Medium,Soil,69.5,3.4,73.7,Sunny,8.5,0.0,14.8,Wet,Intermediate,5.4,19,65.0,9.8,1506.0,1.5,81.9,92.7,64.9,67.0,1,2024-12-25 00:00:00
505,EXC002,OP008,Demolition,Medium,Sand,209.1,2.4,36.8,Windy,15.8,0.0,27.3,Muddy,Expert,5.9,134,89.7,2.5,4400.0,2.0,63.9,70.5,111.2,126.3,1,2024-06-20 00:00:00
506,EXC004,OP010,Earth Excavation,High,Clay,245.5,1.5,35.3,Cloudy,31.8,0.0,7.6,Dry,Intermediate,1.1,166,66.6,2.8,11236.0,1.0,54.6,86.0,225.3,220.7,1,2024-04-13 00:00:00
507,EXC005,OP001,Earth Excavation,High,Gravel,233.7,1.4,88.5,Sunny,29.1,0.0,8.7,Dry,Beginner,11.4,299,53.2,11.0,1504.0,1.5,92.4,94.6,148.4,141.2,1,2024-05-03 00:00:00
508,EXC001,OP008,Grading,Medium,Gravel,170.0,2.9,96.4,Sunny,31.1,0.0,0.0,Wet,Expert,0.8,197,49.1,10.5,5069.0,1.2,87.8,70.7,109.7,120.5,1,2024-11-18 00:00:00
509,EXC004,OP008,Demolition,High,Rock,233.3,2.7,96.2,Sunny,13.2,0.0,1.6,Wet,Intermediate,8.1,240,114.3,13.7,3873.0,1.0,57.6,89.6,306.0,300.0,1,2024-12-24 00:00:00
510,EXC004,OP004,Trenching,Medium,Soil,208.0,4.3,83.8,Sunny,11.0,0.0,7.5,Frozen,Beginner,10.2,91,84.1,2.0,1969.0,1.5,78.5,93.7,168.8,167.9,1,2024-03-25 00:00:00
511,EXC002,OP005,Compaction,High,Rock,173.4,2.1,36.1,Windy,40.0,0.0,53.0,Frozen,Expert,5.7,97,39.9,5.9,3713.0,2.0,88.7,65.3,96.8,93.0,1,2024-01-07 00:00:00
512,EXC003,OP010,Earth Excavation,Medium,Clay,66.0,2.2,6.0,Cloudy,40.2,0.0,1.9,Dry,Beginner,6.1,96,73.6,13.3,1458.0,0.8,71.8,92.9,120.6,121.4,0,2024-01-17 00:00:00
513,EXC003,OP004,Material Loading,High,Sand,144.1,5.6,5.8,Cloudy,7.1,0.0,6.3,Frozen,Beginner,10.3,13,50.9,7.4,10791.0,1.0,65.3,76.6,112.1,107.5,1,2024-02-19 00:00:00
514,EXC002,OP005,Earth Excavation,Low,Gravel,53.7,5.7,91.1,Cloudy,35.6,0.0,13.4,Wet,Intermediate,2.6,72,58.5,7.8,3951.0,1.2,89.9,71.3,73.9,82.1,1,2024-04-07 00:00:00
515,EXC005,OP007,Grading,High,Clay,40.8,0.7,13.4,Rainy,26.5,17.4,3.6,Frozen,Beginner,3.7,91,47.8,14.3,1602.0,1.5,71.2,65.0,88.4,79.8,1,2024-10-11 00:00:00
