log_id,fuel_level_pct,fuel_available_l,engine_load_pct,temperature_c,ground_condition,task_type,task_duration_est_min,consumption_l_per_hour,fuel_needed_l,fuel_after_task_l,fuel_after_task_pct,range_km,distance_to_station_km,can_complete_task,can_reach_station,risk_level
600,38.9,159.5,66.1,9.5,Muddy,Grading,71.9,26.49,31.7,127.8,31.2,51.2,34.11,1,1,LOW
601,97.7,400.6,79.7,12.3,Wet,Earth Excavation,113.6,27.99,53.0,347.6,84.8,121.7,8.06,1,1,LOW
602,87.9,360.4,75.0,12.1,Frozen,Grading,91.6,25.6,39.1,321.3,78.4,119.7,48.82,1,1,LOW
603,74.6,305.9,84.8,7.7,Muddy,Trenching,127.6,32.75,69.6,236.3,57.6,79.4,43.47,1,1,LOW
604,67.3,275.9,85.4,38.1,Dry,Material Loading,162.5,23.58,63.9,212.0,51.7,99.5,36.04,1,1,LOW
605,86.2,353.4,41.2,12.8,Muddy,Compaction,115.3,20.29,39.0,314.4,76.7,148.0,7.92,1,1,LOW
606,55.4,227.1,89.1,7.8,Frozen,Earth Excavation,150.2,30.68,76.8,150.3,36.7,62.9,47.83,1,1,LOW
607,96.1,394.0,91.5,16.3,Muddy,Compaction,212.0,26.76,94.6,299.4,73.0,125.1,25.84,1,1,LOW
608,82.5,338.2,86.0,35.3,Muddy,Demolition,154.0,35.46,91.0,247.2,60.3,81.1,40.44,1,1,LOW
609,25.1,102.9,42.4,21.2,Frozen,Demolition,100.9,27.35,46.0,56.9,13.9,32.0,35.15,1,0,LOW
610,38.8,159.1,75.7,10.2,Dry,Demolition,63.8,28.64,30.5,128.6,31.4,47.2,45.53,1,1,LOW
611,99.5,407.9,75.1,8.4,Wet,Earth Excavation,41.0,27.06,18.5,389.4,95.0,128.1,29.7,1,1,LOW
612,43.3,177.5,65.8,28.6,Frozen,Grading,212.7,25.03,88.7,88.8,21.7,60.3,23.85,1,1,LOW
613,99.7,408.8,60.3,5.5,Dry,Earth Excavation,175.0,23.47,68.5,340.3,83.0,148.1,17.54,1,1,LOW
614,64.6,264.9,70.2,36.9,Dry,Trenching,249.5,27.07,112.6,152.3,37.1,83.2,0.65,1,1,LOW
615,93.8,384.6,85.7,39.1,Frozen,Material Loading,250.8,28.35,118.5,266.1,64.9,115.3,27.77,1,1,LOW
616,10.6,43.5,51.7,27.0,Wet,Earth Excavation,227.6,24.85,94.3,0.0,0.0,14.9,42.08,0,0,CRITICAL
617,14.7,60.3,94.5,7.7,Frozen,Material Loading,255.3,27.01,114.9,0.0,0.0,19.0,3.98,0,1,HIGH
618,7.4,30.3,69.7,37.5,Frozen,Earth Excavation,54.9,27.9,25.5,4.8,1.2,9.2,28.64,0,0,CRITICAL
619,74.4,305.0,95.1,35.6,Wet,Demolition,165.5,34.08,94.0,211.0,51.5,76.1,41.7,1,1,LOW
620,11.5,47.1,78.0,7.1,Wet,Demolition,213.6,32.16,114.5,0.0,0.0,12.4,47.63,0,0,CRITICAL
621,51.2,209.9,83.0,14.7,Frozen,Grading,204.7,26.66,91.0,118.9,29.0,66.9,48.95,1,1,LOW
622,50.2,205.8,74.1,10.9,Muddy,Material Loading,99.5,25.72,42.7,163.1,39.8,68.0,6.38,1,1,LOW
623,20.7,84.9,74.3,11.8,Wet,Compaction,74.7,22.79,28.4,56.5,13.8,31.7,44.87,1,0,MEDIUM
624,54.6,223.9,58.6,14.0,Dry,Material Loading,255.8,20.01,85.3,138.6,33.8,95.1,45.81,1,1,LOW
625,19.7,80.8,81.8,28.3,Muddy,Trenching,232.9,32.18,124.9,0.0,0.0,21.3,26.19,0,0,CRITICAL
626,39.1,160.3,65.5,12.2,Wet,Compaction,64.0,21.12,22.5,137.8,33.6,64.5,39.03,1,1,LOW
627,75.9,311.2,41.1,15.9,Frozen,Material Loading,186.8,20.61,64.2,247.0,60.2,128.3,46.0,1,1,LOW
628,88.1,361.2,49.5,19.9,Muddy,Earth Excavation,227.9,26.36,100.1,261.1,63.7,116.5,7.96,1,1,LOW
629,78.6,322.3,71.0,5.6,Wet,Earth Excavation,163.0,26.67,72.5,249.8,60.9,102.7,15.6,1,1,LOW
630,63.3,259.5,53.2,28.7,Wet,Material Loading,72.3,20.78,25.0,234.5,57.2,106.1,7.34,1,1,LOW
631,7.8,32.0,57.9,41.1,Frozen,Compaction,124.2,21.84,45.2,0.0,0.0,12.5,29.0,0,0,CRITICAL
632,83.7,343.2,53.7,16.9,Wet,Trenching,31.4,25.8,13.5,329.7,80.4,113.1,16.08,1,1,LOW
633,91.6,375.6,46.4,23.3,Muddy,Material Loading,157.0,22.54,59.0,316.6,77.2,141.6,27.96,1,1,LOW
634,85.0,348.5,96.5,31.1,Frozen,Grading,167.8,28.62,80.0,268.5,65.5,103.5,17.05,1,1,LOW
635,60.5,248.0,42.6,38.0,Muddy,Material Loading,136.1,23.39,53.1,194.9,47.5,90.1,16.69,1,1,LOW
636,21.6,88.6,48.8,11.6,Wet,Grading,297.7,22.06,109.5,0.0,0.0,34.1,12.16,0,1,HIGH
637,31.5,129.2,77.6,6.6,Frozen,Material Loading,203.3,25.8,87.4,41.8,10.2,42.6,27.05,1,1,LOW
638,83.7,343.2,96.3,23.4,Frozen,Grading,241.3,29.52,118.7,224.5,54.8,98.8,12.45,1,1,LOW
639,31.6,129.6,85.0,9.5,Frozen,Trenching,169.4,31.52,89.0,40.6,9.9,34.9,26.48,0,1,HIGH
640,99.6,408.4,46.2,15.9,Dry,Material Loading,154.1,18.35,47.1,361.3,88.1,189.2,24.95,1,1,LOW
641,78.2,320.6,41.1,23.2,Frozen,Grading,148.9,21.45,53.2,267.4,65.2,127.0,6.97,1,1,LOW
642,44.1,180.8,50.9,35.3,Dry,Trenching,184.9,23.55,72.6,108.2,26.4,65.3,26.03,1,1,LOW
643,16.6,68.1,46.6,17.0,Muddy,Material Loading,103.6,21.96,37.9,30.2,7.4,26.4,38.28,0,0,CRITICAL
644,13.1,53.7,64.0,35.9,Frozen,Demolition,225.3,30.18,113.3,0.0,0.0,15.1,28.12,0,0,CRITICAL
645,69.7,285.8,53.6,27.0,Muddy,Compaction,108.8,21.29,38.6,247.2,60.3,114.1,32.87,1,1,LOW
646,52.8,216.5,45.2,31.6,Wet,Demolition,59.6,27.18,27.0,189.5,46.2,67.7,18.62,1,1,LOW
647,7.8,32.0,97.4,24.7,Dry,Material Loading,97.0,24.31,39.3,0.0,0.0,11.2,49.01,0,0,CRITICAL
648,73.9,303.0,56.5,7.8,Wet,Compaction,20.5,20.48,7.0,296.0,72.2,125.8,33.95,1,1,LOW
649,75.9,311.2,84.6,34.0,Wet,Earth Excavation,217.0,28.43,102.8,208.4,50.8,93.0,49.51,1,1,LOW
650,31.1,127.5,87.2,11.4,Muddy,Grading,231.4,28.58,110.2,17.3,4.2,37.9,2.34,0,1,HIGH
651,59.7,244.8,57.6,40.1,Frozen,Earth Excavation,122.0,27.32,55.6,189.2,46.1,76.2,42.51,1,1,LOW
652,83.0,340.3,44.6,24.6,Muddy,Earth Excavation,209.8,25.38,88.7,251.6,61.4,114.0,39.63,1,1,LOW
653,98.2,402.6,79.0,35.8,Dry,Grading,275.6,23.75,109.1,293.5,71.6,144.1,32.37,1,1,LOW
654,27.4,112.3,68.8,34.2,Dry,Trenching,79.2,25.35,33.5,78.8,19.2,37.7,48.91,1,0,LOW
655,22.3,91.4,59.2,20.9,Wet,Grading,278.4,23.2,107.6,0.0,0.0,33.5,49.34,0,0,CRITICAL
656,71.5,293.1,58.7,39.3,Frozen,Trenching,49.8,29.2,24.2,268.9,65.6,85.3,48.68,1,1,LOW
657,33.8,138.6,79.2,23.7,Frozen,Trenching,100.3,31.02,51.9,86.7,21.1,38.0,7.23,1,1,LOW
658,47.4,194.3,69.7,13.6,Muddy,Demolition,198.8,32.37,107.3,87.0,21.2,51.0,45.03,1,1,LOW
659,64.2,263.2,89.3,18.2,Wet,Trenching,94.2,31.21,49.0,214.2,52.2,71.7,14.01,1,1,LOW
660,36.0,147.6,55.7,30.9,Frozen,Earth Excavation,115.3,26.0,50.0,97.6,23.8,48.3,34.64,1,1,LOW
661,26.0,106.6,51.6,5.0,Dry,Material Loading,30.9,18.95,9.8,96.8,23.6,47.8,14.01,1,1,LOW
662,92.2,378.0,52.5,17.4,Frozen,Material Loading,256.4,21.96,93.8,284.2,69.3,146.3,40.23,1,1,LOW
663,16.8,68.9,64.2,39.8,Wet,Demolition,50.1,30.4,25.4,43.5,10.6,19.3,28.93,1,0,MEDIUM
664,70.2,287.8,93.2,23.2,Dry,Earth Excavation,182.2,28.06,85.2,202.6,49.4,87.2,20.72,1,1,LOW
665,37.3,152.9,90.7,15.9,Muddy,Earth Excavation,105.8,32.16,56.7,96.2,23.5,40.4,2.23,1,1,LOW
666,67.7,277.6,48.3,9.5,Wet,Earth Excavation,41.7,23.5,16.3,261.3,63.7,100.4,43.79,1,1,LOW
667,9.4,38.5,84.1,34.5,Frozen,Demolition,117.4,34.01,66.5,0.0,0.0,9.6,14.63,0,0,CRITICAL
668,86.4,354.2,82.3,23.9,Muddy,Trenching,223.6,32.3,120.4,233.8,57.0,93.2,42.8,1,1,LOW
669,68.5,280.9,63.2,24.1,Dry,Grading,237.2,22.57,89.2,191.7,46.8,105.8,48.89,1,1,LOW
670,37.5,153.8,61.7,10.4,Frozen,Trenching,44.2,27.74,20.4,133.4,32.5,47.1,21.68,1,1,LOW
671,37.9,155.4,86.0,14.8,Wet,Grading,272.3,26.88,122.0,33.4,8.1,49.1,28.56,0,1,HIGH
672,37.8,155.0,74.2,25.3,Wet,Earth Excavation,145.1,27.46,66.4,88.6,21.6,48.0,27.38,1,1,LOW
673,63.2,259.1,44.1,18.5,Muddy,Compaction,92.6,20.7,31.9,227.2,55.4,106.4,30.46,1,1,LOW
674,35.1,143.9,93.1,18.7,Muddy,Trenching,274.6,34.4,157.4,0.0,0.0,35.6,37.42,0,0,CRITICAL
675,9.7,39.8,47.6,30.5,Muddy,Trenching,83.2,26.98,37.4,2.4,0.6,12.5,39.07,0,0,CRITICAL
676,11.8,48.4,42.1,22.7,Muddy,Grading,263.3,22.39,98.3,0.0,0.0,18.4,5.98,0,1,HIGH
677,55.3,226.7,61.1,24.3,Frozen,Demolition,172.6,30.97,89.1,137.6,33.6,62.2,21.05,1,1,LOW
678,11.2,45.9,94.1,25.1,Frozen,Grading,278.2,27.89,129.3,0.0,0.0,14.0,25.61,0,0,CRITICAL
679,30.9,126.7,78.2,27.8,Muddy,Trenching,218.6,31.94,116.4,10.3,2.5,33.7,32.38,0,1,HIGH
680,5.4,22.1,65.9,5.2,Frozen,Earth Excavation,140.6,27.07,63.4,0.0,0.0,6.9,4.56,0,1,HIGH
681,67.3,275.9,57.9,44.9,Frozen,Demolition,183.9,33.0,101.1,174.8,42.6,71.1,48.36,1,1,LOW
682,35.3,144.7,83.5,10.5,Dry,Compaction,157.5,21.8,57.2,87.5,21.3,56.4,1.33,1,1,LOW
683,95.8,392.8,58.3,12.3,Frozen,Trenching,154.2,27.45,70.5,322.3,78.6,121.6,42.21,1,1,LOW
684,46.5,190.7,52.1,6.8,Wet,Material Loading,248.1,21.02,86.9,103.8,25.3,77.1,36.62,1,1,LOW
685,61.5,252.2,65.3,28.2,Dry,Grading,210.7,22.23,78.1,174.1,42.5,96.4,25.63,1,1,LOW
686,45.7,187.4,40.9,14.5,Muddy,Grading,171.4,21.91,62.6,124.8,30.4,72.7,27.84,1,1,LOW
687,31.1,127.5,78.6,33.2,Frozen,Material Loading,132.6,25.31,55.9,71.6,17.5,42.8,9.36,1,1,LOW
688,79.7,326.8,92.7,28.7,Dry,Trenching,211.0,29.29,103.0,223.8,54.6,94.8,37.14,1,1,LOW
689,83.5,342.3,44.3,5.4,Frozen,Earth Excavation,63.7,24.11,25.6,316.7,77.2,120.7,44.01,1,1,LOW
690,31.1,127.5,64.9,20.8,Dry,Trenching,58.6,25.23,24.6,102.9,25.1,43.0,32.97,1,1,LOW
691,78.7,322.7,51.7,34.3,Dry,Compaction,55.1,18.93,17.4,305.3,74.5,144.9,4.79,1,1,LOW
692,49.0,200.9,76.6,5.9,Muddy,Trenching,161.5,31.53,84.9,116.0,28.3,54.2,44.37,1,1,LOW
693,78.6,322.3,78.4,9.6,Muddy,Trenching,86.6,32.02,46.2,276.1,67.3,85.6,22.41,1,1,LOW
694,46.2,189.4,54.2,32.8,Dry,Grading,165.4,20.32,56.0,133.4,32.5,79.2,27.94,1,1,LOW
695,69.6,285.4,62.5,19.5,Muddy,Earth Excavation,187.1,28.4,88.6,196.8,48.0,85.4,30.33,1,1,LOW
696,86.7,355.5,89.0,9.4,Dry,Compaction,130.3,23.13,50.2,305.3,74.5,130.6,49.99,1,1,LOW
697,31.6,129.6,65.6,15.7,Muddy,Compaction,154.7,23.41,60.4,69.2,16.9,47.1,11.43,1,1,LOW
698,89.4,366.5,86.0,25.0,Muddy,Trenching,70.4,32.26,37.9,328.6,80.1,96.6,43.98,1,1,LOW
699,59.4,243.5,91.0,9.9,Dry,Compaction,80.7,22.78,30.6,212.9,51.9,90.9,6.47,1,1,LOW
700,41.8,171.4,94.6,18.0,Dry,Compaction,229.7,22.55,86.3,85.1,20.8,64.6,33.56,1,1,LOW
701,43.8,179.6,62.6,11.4,Muddy,Trenching,266.3,29.28,130.0,49.6,12.1,52.1,23.98,1,1,LOW
702,25.5,104.5,68.1,33.7,Wet,Trenching,232.2,27.58,106.7,0.0,0.0,32.2,31.67,0,1,HIGH
703,28.8,118.1,76.6,11.1,Frozen,Material Loading,222.8,25.08,93.1,25.0,6.1,40.0,31.77,0,1,HIGH
704,86.5,354.6,43.1,28.8,Muddy,Demolition,168.8,28.56,80.3,274.3,66.9,105.5,40.13,1,1,LOW
705,79.4,325.5,78.0,32.6,Muddy,Trenching,227.7,31.29,118.7,206.8,50.4,88.4,12.28,1,1,LOW
706,26.6,109.1,53.7,39.3,Muddy,Trenching,121.1,29.34,59.2,49.9,12.2,31.6,35.87,1,0,LOW
707,20.1,82.4,68.2,14.7,Dry,Trenching,22.6,26.18,9.9,72.5,17.7,26.8,18.84,1,1,MEDIUM
708,8.0,32.8,76.0,30.1,Frozen,Earth Excavation,108.8,27.75,50.3,0.0,0.0,10.0,43.7,0,0,CRITICAL
709,44.1,180.8,67.0,13.3,Frozen,Compaction,275.9,21.62,99.4,81.4,19.9,71.1,45.58,1,1,LOW
710,34.5,141.4,49.3,17.3,Dry,Trenching,197.3,23.15,76.1,65.3,15.9,51.9,9.89,1,1,LOW
711,14.8,60.7,40.4,39.2,Wet,Compaction,119.5,18.85,37.5,23.2,5.7,27.4,29.98,0,0,CRITICAL
712,21.0,86.1,67.3,19.1,Muddy,Grading,81.1,26.41,35.7,50.4,12.3,27.7,33.31,1,0,MEDIUM
713,20.8,85.3,42.5,22.6,Muddy,Compaction,202.2,20.64,69.6,15.7,3.8,35.1,35.24,0,0,CRITICAL
714,27.3,111.9,70.8,13.2,Frozen,Compaction,75.2,22.79,28.6,83.3,20.3,41.7,14.92,1,1,LOW
715,51.2,209.9,74.8,22.5,Muddy,Demolition,255.2,34.09,145.0,64.9,15.8,52.3,44.02,1,1,LOW
716,65.3,267.7,75.3,22.4,Wet,Trenching,185.8,28.72,88.9,178.8,43.6,79.2,1.76,1,1,LOW
717,85.9,352.2,42.7,26.0,Wet,Grading,75.5,20.24,25.5,326.7,79.7,147.9,44.84,1,1,LOW
718,89.0,364.9,84.3,14.6,Dry,Earth Excavation,108.5,25.92,46.9,318.0,77.6,119.7,20.2,1,1,LOW
719,99.9,409.6,53.3,38.2,Frozen,Earth Excavation,294.5,26.52,130.2,279.4,68.1,131.3,11.66,1,1,LOW
720,58.1,238.2,47.0,37.7,Muddy,Trenching,173.8,26.91,77.9,160.3,39.1,75.2,27.71,1,1,LOW
721,10.3,42.2,49.8,11.4,Frozen,Trenching,60.6,26.1,26.4,15.8,3.9,13.7,46.14,0,0,CRITICAL
722,64.2,263.2,60.7,16.0,Dry,Grading,102.4,21.12,36.0,227.2,55.4,105.9,17.51,1,1,LOW
723,53.0,217.3,97.1,13.9,Wet,Material Loading,61.9,26.55,27.4,189.9,46.3,69.6,17.82,1,1,LOW
724,21.6,88.6,73.7,21.7,Wet,Earth Excavation,281.3,27.36,128.3,0.0,0.0,27.5,20.97,0,1,HIGH
725,44.5,182.4,94.4,16.6,Frozen,Material Loading,232.5,27.39,106.1,76.3,18.6,56.6,17.51,1,1,LOW
726,99.5,407.9,72.2,32.6,Frozen,Grading,251.8,25.2,105.8,302.1,73.7,137.6,43.16,1,1,LOW
727,33.0,135.3,41.3,29.6,Muddy,Compaction,146.2,20.78,50.6,84.7,20.7,55.3,8.65,1,1,LOW
728,53.4,218.9,88.5,11.9,Wet,Grading,230.9,26.25,101.0,117.9,28.8,70.9,46.83,1,1,LOW
729,93.0,381.3,74.9,35.7,Frozen,Earth Excavation,161.7,28.51,76.8,304.5,74.3,113.7,31.32,1,1,LOW
730,46.0,188.6,72.1,27.1,Muddy,Earth Excavation,143.1,29.81,71.1,117.5,28.7,53.8,11.08,1,1,LOW
731,97.8,401.0,57.4,12.0,Muddy,Trenching,153.8,28.73,73.6,327.4,79.9,118.6,43.79,1,1,LOW
732,10.3,42.2,42.3,14.1,Wet,Demolition,194.0,25.93,83.8,0.0,0.0,13.8,28.37,0,0,CRITICAL
733,93.3,382.5,59.2,38.4,Dry,Demolition,155.3,27.36,70.8,311.7,76.0,118.8,44.77,1,1,LOW
734,67.6,277.2,45.1,24.0,Muddy,Trenching,37.6,27.38,17.2,260.0,63.4,86.1,0.68,1,1,LOW
735,61.0,250.1,66.4,17.1,Frozen,Demolition,283.1,30.63,144.5,105.6,25.8,69.4,6.72,1,1,LOW
736,66.6,273.1,82.5,19.7,Wet,Compaction,54.8,22.76,20.8,252.3,61.5,102.0,16.92,1,1,LOW
737,64.4,264.0,88.6,6.9,Muddy,Trenching,33.6,33.44,18.7,245.3,59.8,67.1,10.01,1,1,LOW
738,52.9,216.9,70.6,31.3,Muddy,Material Loading,20.9,25.78,9.0,207.9,50.7,71.5,33.86,1,1,LOW
739,87.3,357.9,41.3,26.2,Wet,Demolition,180.3,25.83,77.6,280.3,68.4,117.8,30.62,1,1,LOW
740,16.6,68.1,79.1,40.2,Dry,Demolition,144.1,30.72,73.8,0.0,0.0,18.8,17.55,0,1,HIGH
741,56.6,232.1,54.9,11.9,Frozen,Trenching,148.6,26.96,66.8,165.3,40.3,73.2,8.92,1,1,LOW
742,9.9,40.6,93.9,7.9,Muddy,Earth Excavation,146.3,33.75,82.3,0.0,0.0,10.2,12.63,0,0,CRITICAL
743,91.5,375.2,63.5,22.9,Dry,Material Loading,30.6,21.29,10.9,364.3,88.9,149.8,15.0,1,1,LOW
744,14.7,60.3,72.5,9.0,Wet,Earth Excavation,154.5,27.08,69.7,0.0,0.0,18.9,22.39,0,0,CRITICAL
745,5.4,22.1,51.2,14.4,Frozen,Compaction,276.3,20.55,94.6,0.0,0.0,9.1,20.59,0,0,CRITICAL
746,72.7,298.1,76.4,12.4,Wet,Earth Excavation,142.5,27.56,65.5,232.6,56.7,91.9,28.46,1,1,LOW
747,32.9,134.9,57.7,15.5,Frozen,Material Loading,202.9,22.31,75.4,59.5,14.5,51.4,25.71,1,1,LOW
748,14.8,60.7,87.7,24.2,Muddy,Earth Excavation,92.3,31.85,49.0,11.7,2.9,16.2,40.3,0,0,CRITICAL
749,88.2,361.6,74.9,21.9,Frozen,Material Loading,74.3,24.3,30.1,331.5,80.9,126.5,32.71,1,1,LOW
750,19.7,80.8,91.4,19.7,Wet,Earth Excavation,111.8,29.69,55.3,25.5,6.2,23.1,43.56,0,0,CRITICAL
751,51.6,211.6,95.5,40.0,Muddy,Compaction,260.7,28.08,122.0,89.6,21.9,64.1,19.4,1,1,LOW
752,59.8,245.2,81.7,12.1,Muddy,Compaction,288.1,24.29,116.6,128.6,31.4,85.8,15.48,1,1,LOW
753,40.9,167.7,51.6,9.5,Dry,Compaction,175.4,17.53,51.2,116.5,28.4,81.3,15.7,1,1,LOW
754,36.5,149.7,66.0,39.5,Wet,Compaction,233.5,21.8,84.8,64.9,15.8,58.4,29.38,1,1,LOW
755,27.9,114.4,55.2,8.7,Muddy,Grading,191.7,24.36,77.8,36.6,8.9,39.9,36.44,0,1,HIGH
756,6.2,25.4,76.7,44.9,Muddy,Trenching,71.5,34.45,41.1,0.0,0.0,6.3,14.45,0,0,CRITICAL
757,28.8,118.1,60.1,30.5,Muddy,Material Loading,130.9,24.23,52.9,65.2,15.9,41.4,2.48,1,1,LOW
758,43.7,179.2,59.0,8.5,Frozen,Grading,261.9,23.8,103.9,75.3,18.4,64.0,2.54,1,1,LOW
759,18.9,77.5,74.9,41.8,Frozen,Material Loading,116.3,25.2,48.8,28.7,7.0,26.1,38.41,0,0,CRITICAL
760,28.4,116.4,49.3,19.3,Wet,Compaction,214.6,19.49,69.7,46.7,11.4,50.8,33.46,1,1,LOW
761,31.3,128.3,59.7,6.7,Muddy,Demolition,183.1,32.07,97.9,30.4,7.4,34.0,15.26,0,1,HIGH
762,73.7,302.2,83.4,31.6,Frozen,Trenching,275.7,30.85,141.8,160.4,39.1,83.3,37.78,1,1,LOW
763,66.8,273.9,92.5,42.1,Muddy,Grading,136.7,30.95,70.5,203.4,49.6,75.2,18.5,1,1,LOW
764,66.2,271.4,44.5,10.7,Frozen,Demolition,267.7,27.29,121.8,149.6,36.5,84.5,47.62,1,1,LOW
765,79.5,325.9,88.0,17.6,Muddy,Earth Excavation,299.2,32.42,161.7,164.2,40.0,85.4,2.0,1,1,LOW
766,66.8,273.9,79.5,15.2,Muddy,Compaction,80.6,25.48,34.2,239.7,58.5,91.4,41.54,1,1,LOW
767,71.2,291.9,85.4,12.6,Wet,Trenching,238.1,30.61,121.5,170.4,41.6,81.1,4.76,1,1,LOW
768,48.3,198.0,94.0,27.5,Wet,Material Loading,293.9,26.26,128.6,69.4,16.9,64.1,23.45,1,1,LOW
769,44.1,180.8,58.1,18.0,Wet,Compaction,31.4,19.73,10.3,170.5,41.6,77.9,34.25,1,1,LOW
770,41.5,170.2,48.5,27.1,Wet,Compaction,119.3,19.12,38.0,132.2,32.2,75.7,8.59,1,1,LOW
771,82.7,339.1,55.5,36.0,Muddy,Trenching,72.8,29.56,35.9,303.2,74.0,97.5,36.5,1,1,LOW
772,8.0,32.8,95.7,10.9,Dry,Material Loading,127.7,23.78,50.6,0.0,0.0,11.7,24.73,0,0,CRITICAL
773,5.6,23.0,94.1,30.8,Frozen,Demolition,248.9,35.94,149.1,0.0,0.0,5.4,46.43,0,0,CRITICAL
774,38.9,159.5,65.7,31.3,Wet,Material Loading,224.9,22.18,83.1,76.4,18.6,61.1,5.05,1,1,LOW
775,24.4,100.0,94.7,11.2,Dry,Earth Excavation,247.3,28.51,117.5,0.0,0.0,29.8,41.03,0,0,CRITICAL
776,96.3,394.8,55.7,38.1,Wet,Material Loading,170.5,22.07,62.7,332.1,81.0,152.1,22.56,1,1,LOW
777,59.6,244.4,83.4,12.0,Frozen,Demolition,168.5,33.88,95.1,149.3,36.4,61.3,9.32,1,1,LOW
778,23.2,95.1,43.7,32.4,Muddy,Earth Excavation,49.7,25.66,21.3,73.8,18.0,31.5,37.13,1,0,MEDIUM
779,81.9,335.8,86.2,10.7,Frozen,Grading,47.1,26.96,21.2,314.6,76.7,105.9,31.81,1,1,LOW
780,94.7,388.3,52.0,32.3,Dry,Earth Excavation,78.7,23.12,30.3,358.0,87.3,142.8,22.82,1,1,LOW
781,99.9,409.6,41.5,5.0,Wet,Material Loading,122.5,19.7,40.2,369.4,90.1,176.7,44.25,1,1,LOW
782,88.6,363.3,48.3,21.5,Muddy,Compaction,107.5,22.41,40.2,323.1,78.8,137.8,33.33,1,1,LOW
783,35.7,146.4,89.9,15.0,Frozen,Demolition,105.8,34.66,61.1,85.3,20.8,35.9,1.66,1,1,LOW
784,21.3,87.3,69.4,9.5,Wet,Grading,265.0,24.15,106.7,0.0,0.0,30.7,18.44,0,1,HIGH
785,43.0,176.3,85.6,28.7,Wet,Earth Excavation,170.4,29.63,84.1,92.2,22.5,50.6,23.67,1,1,LOW
786,15.5,63.5,96.9,12.0,Wet,Trenching,60.8,31.03,31.4,32.1,7.8,17.4,28.72,0,0,CRITICAL
787,28.7,117.7,64.9,31.9,Dry,Trenching,276.3,25.89,119.2,0.0,0.0,38.6,15.66,0,1,HIGH
788,37.6,154.2,88.8,25.8,Frozen,Material Loading,255.1,26.35,112.0,42.2,10.3,49.7,37.73,1,1,LOW
789,62.6,256.7,61.4,5.0,Dry,Demolition,173.9,27.66,80.2,176.5,43.0,78.9,30.12,1,1,LOW
790,57.3,234.9,56.8,43.9,Muddy,Grading,207.9,26.55,92.0,142.9,34.9,75.2,23.01,1,1,LOW
791,11.1,45.5,60.3,12.0,Dry,Grading,266.1,21.18,93.9,0.0,0.0,18.3,15.49,0,1,HIGH
792,68.7,281.7,48.7,42.2,Wet,Material Loading,48.3,21.38,17.2,264.5,64.5,112.0,9.15,1,1,LOW
793,28.5,116.8,78.4,11.2,Muddy,Trenching,266.2,32.13,142.6,0.0,0.0,30.9,7.83,0,1,HIGH
794,52.6,215.7,90.0,18.0,Dry,Earth Excavation,295.0,26.47,130.1,85.6,20.9,69.3,34.0,1,1,LOW
795,76.5,313.6,80.5,20.4,Muddy,Trenching,220.7,31.69,116.6,197.0,48.0,84.1,35.98,1,1,LOW
796,59.0,241.9,57.1,24.6,Frozen,Grading,139.5,23.95,55.7,186.2,45.4,85.9,39.66,1,1,LOW
797,5.9,24.2,73.1,30.3,Muddy,Demolition,135.8,34.54,78.2,0.0,0.0,6.0,28.94,0,0,CRITICAL
798,55.5,227.6,43.9,40.9,Wet,Demolition,173.5,27.95,80.8,146.8,35.8,69.2,28.05,1,1,LOW
799,61.8,253.4,64.9,33.4,Muddy,Earth Excavation,219.0,28.29,103.3,150.1,36.6,76.1,14.7,1,1,LOW
800,64.6,264.9,53.2,22.6,Dry,Demolition,189.6,25.39,80.2,184.7,45.0,88.7,3.9,1,1,LOW
801,34.6,141.9,77.2,29.6,Frozen,Earth Excavation,190.2,28.97,91.8,50.1,12.2,41.6,36.88,1,1,LOW
802,10.6,43.5,57.6,21.9,Muddy,Trenching,137.8,28.21,64.8,0.0,0.0,13.1,4.02,0,1,HIGH
803,68.5,280.9,55.2,33.5,Wet,Earth Excavation,177.6,25.07,74.2,206.7,50.4,95.2,19.88,1,1,LOW
804,79.5,325.9,61.8,29.9,Frozen,Trenching,182.5,27.69,84.2,241.7,59.0,100.0,4.52,1,1,LOW
805,22.4,91.8,91.2,22.8,Muddy,Grading,120.9,29.73,59.9,31.9,7.8,26.2,14.79,0,1,HIGH
806,91.6,375.6,86.4,10.3,Frozen,Compaction,137.2,24.47,56.0,319.6,78.0,130.5,1.26,1,1,LOW
807,17.4,71.3,52.2,32.8,Frozen,Trenching,269.7,25.95,116.6,0.0,0.0,23.4,33.03,0,0,CRITICAL
808,63.4,259.9,90.4,19.5,Muddy,Grading,164.4,29.61,81.1,178.8,43.6,74.6,45.24,1,1,LOW
809,59.9,245.6,83.8,19.8,Frozen,Demolition,124.4,33.24,68.9,176.7,43.1,62.8,9.08,1,1,LOW
810,45.0,184.5,40.9,7.8,Muddy,Trenching,235.4,26.37,103.5,81.0,19.8,59.5,44.66,1,1,LOW
811,15.0,61.5,71.0,39.2,Dry,Compaction,101.5,21.32,36.1,25.4,6.2,24.5,6.63,0,1,HIGH
812,86.1,353.0,43.1,37.9,Dry,Earth Excavation,37.7,22.14,13.9,339.1,82.7,135.5,38.05,1,1,LOW
813,44.4,182.0,92.4,38.6,Frozen,Earth Excavation,192.5,31.96,102.5,79.5,19.4,48.4,38.73,1,1,LOW
